county,population
Barren,44670
Shenandoah,44630
Beaufort,44597
Macoupin,44566
Delaware,44551
Callaway,44541
Henderson,44493
Suwannee,44484
Holmes,44312
Levy,44276
Douglas,44197
St. Bernard,44172
Madison,44126
Jefferson,44099
Stephenson,44042
Huntingdon,43844
Siskiyou,43834
McClain,43779
Kandiyohi,43757
Douglas,43733
Kay,43731
Brown,43710
Washington,43674
Baldwin,43669
Gadsden,43642
Pittsburg,43629
Warren,43623
DeKalb,43584
Chesterfield,43575
Dubois,43563
Sullivan,43529
Davie,43526
Franklin,43478
Camden,43416
Highland,43403
Polk,43365
Stephens,43314
Montrose,43272
Erath,43244
Pettis,43205
Coffee,43161
Jackson,43089
Prince George,42873
Richmond,42818
Okanogan,42811
Oconee,42788
Cerro Gordo,42785
Muscatine,42735
Summit,42709
Manassas,42674
Fayette,42653
Miller,42588
Union,42570
Nez Perce,42477
Cooke,42473
Mercer,42438
Fulton,42434
Vance,42361
Pierce,42351
Danville,42239
Butler,42166
Baxter,42150
Clinton,42014
Isanti,41934
Marinette,41907
Ohio,41904
Upshur,41864
Sweetwater,41786
Crawford,41767
Wharton,41651
Warren,41587
Cheatham,41500
Gratiot,41478
Benton,41458
Clatsop,41343
St. John the Baptist,41342
Tift,41322
Warren,41104
Tioga,41078
Tallapoosa,41070
Amador,41029
Delaware,41017
Shawano,40927
Knox,40860
Pasquotank,40830
Preble,40802
Hendry,40798
LaGrange,40596
Sanilac,40574
Mecosta,40321
Latah,40315
Murray,40282
Okeechobee,40249
Howell,40168
Rio Arriba,40165
Ottawa,40161
McKean,40149
Mower,40069
Waldo,40006
Fayette,39987
Wyoming,39980
Marshall,39971
Tazewell,39933
Pike,39930
Webster,39868
Harrison,39785
Mississippi,39749
Snyder,39711
Orleans,39686
Sequoyah,39676
Campbell,39568
Fremont,39472
Isle of Wight,39444
Mayes,39406
Williams,39368
Douglas,39354
Oconto,39329
Person,39275
Gloucester,39228
Avoyelles,39176
Louisa,39012
Crawford,38963
Jim Wells,38863
Graham,38860
Champaign,38772
Colleton,38623
Des Moines,38597
Wayne,38498
Lawrence,38392
Union,38368
Susquehanna,38349
Woodford,38348
Brown,38294
Guernsey,38283
Defiance,38258
Warren,38174
Pontotoc,38158
Montgomery,38155
Newberry,38121
Independence,38120
Brown,38079
Oneida,38007
Finney,38001
Scott,37967
Boone,37896
Calloway,37882
Jasper,37864
Albany,37713
Talbot,37707
Clinton,37707
Cass,37703
Covington,37647
Franklin,37541
Dallas,37536
Dare,37534
Macon,37533
Addison,37497
Houghton,37428
Yadkin,37419
Steele,37413
Hopkins,37351
Bennington,37312
Clarion,37297
Marion,37294
Orange,37208
Dodge,37146
Sagadahoc,37093
Putnam,37091
Essex,37077
Natchitoches,37047
Green,37036
Clark,37004
Okmulgee,36922
Clinton,36899
Williams,36862
Webster,36848
Delta,36829
Jefferson,36808
McLeod,36771
Huntington,36757
Whitley,36755
Escambia,36695
Dyer,36681
Coshocton,36679
Hill,36664
Beauregard,36646
Graves,36612
Fannin,36525
Cocke,36503
Warren,36467
Uintah,36458
Carlton,36457
Chippewa,36448
Alexander,36440
Matagorda,36274
Laclede,36245
Webster,36189
Washington,36156
Knox,36108
Adams,35995
Sioux,35984
Ware,35958
Scotts Bluff,35937
Geary,35895
Lincoln,35840
Wasatch,35808
Miami,35772
Wise,35727
Livingston,35659
Greenup,35639
Lincoln,35617
Silver Bow,35589
Madison,35535
Harris,35509
Perry,35474
Floyd,35342
Marshall,35276
Greene,35265
Wapello,35265
Becker,35260
Morrow,35214
Monroe,34969
Brookings,34968
Barry,34831
Lincoln,34830
Clark,34736
DeSoto,34719
Steuben,34648
Miami,34625
Wakulla,34608
Taos,34516
Effingham,34505
Alcorn,34500
Cowley,34487
Chambers,34450
Whitley,34388
Platte,34358
Scotland,34353
Putnam,34352
Nicollet,34350
Preston,34204
Pickens,34197
Emmet,34159
Ford,34133
Morrison,34131
Lincoln,34122
Lee,34058
Lumpkin,33931
Monroe,33928
Lincoln,33917
Marshall,33899
Botetourt,33875
Wexford,33868
Harvey,33823
Halifax,33811
Pulaski,33771
Christian,33684
Marion,33551
Morton,33479
Daviess,33442
Caroline,33406
Petersburg,33365
Lee,33337
Accomack,33326
Jefferson,33313
Rhea,33299
Fulton,33259
Transylvania,33243
Jasper,33198
Lawrence,33182
Lee,33175
Hot Spring,33142
Howard,33127
Seneca,33125
Stark,33116
Jefferson,33074
Bureau,33027
Gibson,32986
Lafayette,32974
Clinton,32967
Panola,32965
Weakley,32959
Pike,32953
Jasper,32807
Greenbrier,32688
Morgan,32621
